id,word,grade,level,category,subcategory,core_direction,related
20,give,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,come / take / put / make
21,put,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,take / give / make / keep
22,make,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,give / put / keep / bring
23,keep,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,put / make / bring / turn
24,bring,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,make / keep / turn / be
25,turn,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,keep / bring / be / have
26,see,S,Level 1｜50骨架词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,look / watch / hear / listen
27,look,S,Level 1｜50骨架词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,see / watch / hear / listen
28,watch,S,Level 1｜50骨架词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,see / look / hear / listen
29,hear,S,Level 1｜50骨架词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,look / watch / listen / feel
30,listen,S,Level 1｜50骨架词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,watch / hear / feel / smell
31,feel,S,Level 1｜50骨架词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,hear / listen / smell / taste
32,know,S,Level 1｜50骨架词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,notice / recognize / think / understand
33,think,S,Level 1｜50骨架词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,recognize / know / understand / remember
34,in,S,Level 1｜50骨架词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,on / at / to / from
35,on,S,Level 1｜50骨架词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,in / at / to / from
36,at,S,Level 1｜50骨架词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,in / on / to / from
37,to,S,Level 1｜50骨架词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,on / at / from / into
38,from,S,Level 1｜50骨架词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,at / to / into / out
39,into,S,Level 1｜50骨架词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,to / from / out / up
40,out,S,Level 1｜50骨架词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,from / into / up / down
41,up,S,Level 1｜50骨架词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,into / out / down / over
42,down,S,Level 1｜50骨架词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,out / up / over / under
43,over,S,Level 1｜50骨架词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,up / down / under / above
44,under,S,Level 1｜50骨架词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,down / over / above / below
45,back,S,Level 1｜50骨架词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,below / behind / in / on
46,and,S,Level 1｜50骨架词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,but / or / so / because
47,but,S,Level 1｜50骨架词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,and / or / so / because
48,or,S,Level 1｜50骨架词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,and / but / so / because
49,so,S,Level 1｜50骨架词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,but / or / because / if
50,because,S,Level 1｜50骨架词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,or / so / if / when
51,what,S,Level 2｜150生存词,人与指向,疑问指向,把未知的人、物、地点变成提问焦点,whom / whose / which / where
52,use,S,Level 2｜150生存词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,try / work / play / start
53,through,S,Level 2｜150生存词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,outside / around / across / along
54,now,S,Level 2｜150生存词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,today / yesterday / tomorrow / morning
55,say,S,Level 2｜150生存词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,seem / mind / see / look
56,if,S,Level 2｜150生存词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,so / because / when / while
57,where,S,Level 2｜150生存词,人与指向,疑问指向,把未知的人、物、地点变成提问焦点,what / which / who / whom
58,work,S,Level 2｜150生存词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,use / try / play / start
59,off,S,Level 2｜150生存词,空间与方向,边界·依附·参照,描述越界、离开、依附和参照关系,onto / upon / within / without
60,always,S,Level 2｜150生存词,时间与频率,频率·先后·时间关系,表达事情多久发生、何时发生和先后关系,usually / often / sometimes / never
61,tell,S,Level 2｜150生存词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,speak / talk / ask / answer
62,when,S,Level 2｜150生存词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,because / if / while / although
63,become,S,Level 2｜150生存词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,grow / change / live / die
64,by,S,Level 2｜150生存词,空间与方向,边界·依附·参照,描述越界、离开、依附和参照关系,beyond / against / next / off
65,never,S,Level 2｜150生存词,时间与频率,频率·先后·时间关系,表达事情多久发生、何时发生和先后关系,often / sometimes / again / daily
66,ask,S,Level 2｜150生存词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,speak / talk / answer / call
67,not,S,Level 2｜150生存词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,only / even / no / yes
68,find,S,Level 2｜150生存词,核心动作引擎,生活·交易·出行,现实生活中的高频行为过程,save / cost / lose / win
69,still,S,Level 2｜150生存词,时间与频率,频率·先后·时间关系,表达事情多久发生、何时发生和先后关系,soon / already / yet / before
70,answer,S,Level 2｜150生存词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,talk / ask / call / write
71,can,S,Level 2｜150生存词,英语逻辑与结构,情态,表达能力、可能、必要、意愿等说话者态度,could / may / might / must
72,need,S,Level 2｜150生存词,核心动作引擎,生活·交易·出行,现实生活中的高频行为过程,choose / help / want / wait
73,before,S,Level 2｜150生存词,时间与频率,频率·先后·时间关系,表达事情多久发生、何时发生和先后关系,still / yet / after / then
74,a,S,Level 2｜150生存词,英语逻辑与结构,冠词·数量,限定对象的范围和数量,an / the / some / any
75,want,S,Level 2｜150生存词,核心动作引擎,生活·交易·出行,现实生活中的高频行为过程,help / need / wait / meet
76,after,S,Level 2｜150生存词,时间与频率,频率·先后·时间关系,表达事情多久发生、何时发生和先后关系,yet / before / then / later
77,the,S,Level 2｜150生存词,英语逻辑与结构,冠词·数量,限定对象的范围和数量,a / an / some / any
78,of,S,Level 2｜150生存词,英语逻辑与结构,关系结构,建立对象之间的抽象关系,for / with / about / like
79,for,S,Level 2｜150生存词,英语逻辑与结构,关系结构,建立对象之间的抽象关系,of / with / about / like
80,with,S,Level 2｜150生存词,英语逻辑与结构,关系结构,建立对象之间的抽象关系,of / for / about / like
81,me,A,Level 2｜150生存词,人与指向,人称指代,建立“谁在说、谁被说、谁被谈论”,we / they / him / her
82,move,A,Level 2｜150生存词,核心动作引擎,移动与位置变化,主体或物体发生空间位置变化,walk / run / sit / stand
83,above,A,Level 2｜150生存词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,over / under / below / behind
84,today,A,Level 2｜150生存词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,now / yesterday / tomorrow / morning
85,smell,A,Level 2｜150生存词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,listen / feel / taste / notice
86,good,A,Level 2｜150生存词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,bad / big / small / long
87,person,A,Level 2｜150生存词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,people / man / woman / boy
88,home,A,Level 2｜150生存词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,house / room / bedroom / bathroom
89,food,A,Level 2｜150生存词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,water / milk / tea / coffee
90,also,A,Level 2｜150生存词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,as / than / and / but
91,him,A,Level 2｜150生存词,人与指向,人称指代,建立“谁在说、谁被说、谁被谈论”,they / me / her / us
92,walk,A,Level 2｜150生存词,核心动作引擎,移动与位置变化,主体或物体发生空间位置变化,move / run / sit / stand
93,below,A,Level 2｜150生存词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,under / above / behind / back
94,yesterday,A,Level 2｜150生存词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,now / today / tomorrow / morning
95,taste,A,Level 2｜150生存词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,feel / smell / notice / recognize
96,bad,A,Level 2｜150生存词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,good / big / small / long
97,people,A,Level 2｜150生存词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,person / man / woman / boy
98,house,A,Level 2｜150生存词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,home / room / bedroom / bathroom
99,water,A,Level 2｜150生存词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,food / milk / tea / coffee
100,too,A,Level 2｜150生存词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,very / quite / really / just
101,her,A,Level 2｜150生存词,人与指向,人称指代,建立“谁在说、谁被说、谁被谈论”,me / him / us / them
102,run,A,Level 2｜150生存词,核心动作引擎,移动与位置变化,主体或物体发生空间位置变化,move / walk / sit / stand
103,behind,A,Level 2｜150生存词,空间与方向,基础空间关系,建立点、面、内部、方向等基础空间模型,above / below / back / in
104,tomorrow,A,Level 2｜150生存词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,today / yesterday / morning / afternoon
105,notice,A,Level 2｜150生存词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,smell / taste / recognize / know
106,big,A,Level 2｜150生存词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,good / bad / small / long
107,man,A,Level 2｜150生存词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,person / people / woman / boy
108,room,A,Level 2｜150生存词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,home / house / bedroom / bathroom
109,milk,A,Level 2｜150生存词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,food / water / tea / coffee
110,very,A,Level 2｜150生存词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,too / quite / really / just
111,us,A,Level 2｜150生存词,人与指向,人称指代,建立“谁在说、谁被说、谁被谈论”,him / her / them / I
112,sit,A,Level 2｜150生存词,核心动作引擎,移动与位置变化,主体或物体发生空间位置变化,walk / run / stand / lie
113,between,A,Level 2｜150生存词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,among / beside / near / far
114,morning,A,Level 2｜150生存词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,yesterday / tomorrow / afternoon / evening
115,recognize,A,Level 2｜150生存词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,taste / notice / know / think
116,small,A,Level 2｜150生存词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,bad / big / long / short
117,woman,A,Level 2｜150生存词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,people / man / boy / girl
118,door,A,Level 2｜150生存词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,kitchen / hall / window / wall
119,bread,A,Level 2｜150生存词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,coffee / juice / rice / noodle
120,could,A,Level 2｜150生存词,英语逻辑与结构,情态,表达能力、可能、必要、意愿等说话者态度,can / may / might / must
121,them,A,Level 2｜150生存词,人与指向,人称指代,建立“谁在说、谁被说、谁被谈论”,her / us / I / you
122,stand,A,Level 2｜150生存词,核心动作引擎,移动与位置变化,主体或物体发生空间位置变化,run / sit / lie / stay
123,among,A,Level 2｜150生存词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,between / beside / near / far
124,afternoon,A,Level 2｜150生存词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,tomorrow / morning / evening / night
125,understand,A,Level 2｜150生存词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,know / think / remember / forget
126,long,A,Level 2｜150生存词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,big / small / short / tall
127,boy,A,Level 2｜150生存词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,man / woman / girl / baby
128,window,A,Level 2｜150生存词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,hall / door / wall / floor
129,rice,A,Level 2｜150生存词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,juice / bread / noodle / meat
130,may,A,Level 2｜150生存词,英语逻辑与结构,情态,表达能力、可能、必要、意愿等说话者态度,can / could / might / must
131,my,A,Level 2｜150生存词,人与指向,所属关系,建立人/物之间的归属关系,your / his / our / their
132,stay,A,Level 2｜150生存词,核心动作引擎,移动与位置变化,主体或物体发生空间位置变化,stand / lie / leave / arrive
133,beside,A,Level 2｜150生存词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,between / among / near / far
134,evening,A,Level 2｜150生存词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,morning / afternoon / night / day
135,remember,A,Level 2｜150生存词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,think / understand / forget / believe
136,short,A,Level 2｜150生存词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,small / long / tall / high
137,girl,A,Level 2｜150生存词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,woman / boy / baby / child
138,table,A,Level 2｜150生存词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,floor / roof / chair / bed
139,meat,A,Level 2｜150生存词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,rice / noodle / beef / pork
140,might,A,Level 2｜150生存词,英语逻辑与结构,情态,表达能力、可能、必要、意愿等说话者态度,could / may / must / should
141,your,A,Level 2｜150生存词,人与指向,所属关系,建立人/物之间的归属关系,my / his / our / their
142,leave,A,Level 2｜150生存词,核心动作引擎,移动与位置变化,主体或物体发生空间位置变化,lie / stay / arrive / reach
143,near,A,Level 2｜150生存词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,among / beside / far / inside
144,night,A,Level 2｜150生存词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,afternoon / evening / day / week
145,forget,A,Level 2｜150生存词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,understand / remember / believe / guess
146,tall,A,Level 2｜150生存词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,long / short / high / low
147,baby,A,Level 2｜150生存词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,boy / girl / child / children
148,chair,A,Level 2｜150生存词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,roof / table / bed / sofa
149,fruit,A,Level 2｜150生存词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,fish / egg / apple / banana
150,must,A,Level 2｜150生存词,英语逻辑与结构,情态,表达能力、可能、必要、意愿等说话者态度,may / might / should / would
151,his,A,Level 3｜300日常核心词,人与指向,所属关系,建立人/物之间的归属关系,my / your / our / their
152,arrive,A,Level 3｜300日常核心词,核心动作引擎,移动与位置变化,主体或物体发生空间位置变化,stay / leave / reach / enter
153,far,A,Level 3｜300日常核心词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,beside / near / inside / outside
154,day,A,Level 3｜300日常核心词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,evening / night / week / month
155,believe,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,remember / forget / guess / mean
156,high,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,short / tall / low / old
157,child,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,girl / baby / children / adult
158,bed,A,Level 3｜300日常核心词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,table / chair / sofa / desk
159,apple,A,Level 3｜300日常核心词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,egg / fruit / banana / pear
160,should,A,Level 3｜300日常核心词,英语逻辑与结构,情态,表达能力、可能、必要、意愿等说话者态度,might / must / would / will
161,our,A,Level 3｜300日常核心词,人与指向,所属关系,建立人/物之间的归属关系,your / his / their / mine
162,reach,A,Level 3｜300日常核心词,核心动作引擎,移动与位置变化,主体或物体发生空间位置变化,leave / arrive / enter / return
163,inside,A,Level 3｜300日常核心词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,near / far / outside / around
164,week,A,Level 3｜300日常核心词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,night / day / month / year
165,guess,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,forget / believe / mean / learn
166,low,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,tall / high / old / young
167,children,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,baby / child / adult / parent
168,phone,A,Level 3｜300日常核心词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,box / bag / computer / screen
169,car,A,Level 3｜300日常核心词,食物·衣物·交通·城市·自然,交通与城市,构建出行与城市空间,bus / train / plane / bike
170,would,A,Level 3｜300日常核心词,英语逻辑与结构,情态,表达能力、可能、必要、意愿等说话者态度,must / should / will / shall
171,their,A,Level 3｜300日常核心词,人与指向,所属关系,建立人/物之间的归属关系,his / our / mine / yours
172,enter,A,Level 3｜300日常核心词,核心动作引擎,移动与位置变化,主体或物体发生空间位置变化,arrive / reach / return / move
173,outside,A,Level 3｜300日常核心词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,far / inside / around / through
174,month,A,Level 3｜300日常核心词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,day / week / year / hour
175,mean,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,believe / guess / learn / imagine
176,old,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,high / low / young / new
177,parent,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,children / adult / mother / father
178,computer,A,Level 3｜300日常核心词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,bag / phone / screen / clock
179,bus,A,Level 3｜300日常核心词,食物·衣物·交通·城市·自然,交通与城市,构建出行与城市空间,car / train / plane / bike
180,will,A,Level 3｜300日常核心词,英语逻辑与结构,情态,表达能力、可能、必要、意愿等说话者态度,should / would / shall / can
181,mine,A,Level 3｜300日常核心词,人与指向,所属关系,建立人/物之间的归属关系,our / their / yours / hers
182,return,A,Level 3｜300日常核心词,核心动作引擎,移动与位置变化,主体或物体发生空间位置变化,reach / enter / move / walk
183,around,A,Level 3｜300日常核心词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,inside / outside / through / across
184,year,A,Level 3｜300日常核心词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,week / month / hour / minute
185,learn,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,guess / mean / imagine / dream
186,young,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,low / old / new / hot
187,mother,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,adult / parent / father / mom
188,book,A,Level 3｜300日常核心词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,screen / clock / pen / pencil
189,train,A,Level 3｜300日常核心词,食物·衣物·交通·城市·自然,交通与城市,构建出行与城市空间,car / bus / plane / bike
190,yours,A,Level 3｜300日常核心词,人与指向,所属关系,建立人/物之间的归属关系,their / mine / hers / ours
191,carry,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,hold / drop / pick / pull
192,across,A,Level 3｜300日常核心词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,around / through / along / past
193,hour,A,Level 3｜300日常核心词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,month / year / minute / second
194,imagine,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,mean / learn / dream / wonder
195,new,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,old / young / hot / cold
196,father,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,parent / mother / mom / dad
197,pen,A,Level 3｜300日常核心词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,clock / book / pencil / paper
198,plane,A,Level 3｜300日常核心词,食物·衣物·交通·城市·自然,交通与城市,构建出行与城市空间,bus / train / bike / bicycle
199,hers,A,Level 3｜300日常核心词,人与指向,所属关系,建立人/物之间的归属关系,mine / yours / ours / theirs
200,hold,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,carry / drop / pick / pull
201,along,A,Level 3｜300日常核心词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,through / across / past / toward
202,minute,A,Level 3｜300日常核心词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,year / hour / second / time
203,dream,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,learn / imagine / wonder / realize
204,hot,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,young / new / cold / warm
205,mom,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,mother / father / dad / son
206,paper,A,Level 3｜300日常核心词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,pen / pencil / picture / photo
207,city,A,Level 3｜300日常核心词,食物·衣物·交通·城市·自然,交通与城市,构建出行与城市空间,street / road / town / village
208,ours,A,Level 3｜300日常核心词,人与指向,所属关系,建立人/物之间的归属关系,yours / hers / theirs / my
209,drop,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,carry / hold / pick / pull
210,past,A,Level 3｜300日常核心词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,across / along / toward / towards
211,second,A,Level 3｜300日常核心词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,hour / minute / time / weekend
212,wonder,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,imagine / dream / realize / consider
213,cold,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,new / hot / warm / cool
214,dad,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,father / mom / son / daughter
215,school,A,Level 3｜300日常核心词,家庭·学校·日常生活,学校与学习,构建学习场景中的核心对象,class / lesson / homework / test
216,weather,A,Level 3｜300日常核心词,食物·衣物·交通·城市·自然,自然·天气·环境,构建外部自然世界,snow / wind / tree / flower
217,theirs,A,Level 3｜300日常核心词,人与指向,所属关系,建立人/物之间的归属关系,hers / ours / my / your
218,pick,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,hold / drop / pull / push
219,toward,A,Level 3｜300日常核心词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,along / past / towards / away
220,time,A,Level 3｜300日常核心词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,minute / second / weekend / now
221,realize,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,dream / wonder / consider / decide
222,warm,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,hot / cold / cool / hard
223,son,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,mom / dad / daughter / brother
224,class,A,Level 3｜300日常核心词,家庭·学校·日常生活,学校与学习,构建学习场景中的核心对象,school / lesson / homework / test
225,dog,A,Level 3｜300日常核心词,食物·衣物·交通·城市·自然,自然·天气·环境,构建外部自然世界,farm / animal / cat / bird
226,myself,A,Level 3｜300日常核心词,人与指向,反身关系,动作或关系回到主体自身,yourself / himself / herself / itself
227,pull,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,drop / pick / push / lift
228,usually,A,Level 3｜300日常核心词,时间与频率,频率·先后·时间关系,表达事情多久发生、何时发生和先后关系,always / often / sometimes / never
229,consider,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,wonder / realize / decide / plan
230,cool,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,cold / warm / hard / soft
