day,word1,word2,word3,word4,word5,grades,level
65,whom,break,within,Thursday,speak,B,Level 4｜500基础表达词
66,free,grandfather,wall,beef,than,B,Level 4｜500基础表达词
67,whose,fix,without,Friday,talk,B,Level 4｜500基础表达词
68,safe,grandmother,floor,pork,quite,B,Level 4｜500基础表达词
69,which,build,beyond,Saturday,call,B,Level 4｜500基础表达词
70,dangerous,grandpa,roof,chicken,really,B,Level 4｜500基础表达词
71,someone,grow,against,Sunday,write,B,Level 4｜500基础表达词
72,wrong,grandma,sofa,fish,just,B,Level 4｜500基础表达词
73,somebody,change,next,January,read,B,Level 4｜500基础表达词
74,true,uncle,desk,egg,only,B,Level 4｜500基础表达词
75,something,live,left,February,spell,B,Level 4｜500基础表达词
76,false,aunt,lamp,banana,even,B,Level 4｜500基础表达词
77,anyone,die,right,March,explain,B,Level 4｜500基础表达词
78,same,cousin,key,pear,no,B,Level 4｜500基础表达词
79,anybody,cook,straight,April,describe,B,Level 4｜500基础表达词
80,different,grandson,box,grape,yes,B,Level 4｜500基础表达词
81,anything,wash,north,May,discuss,B,Level 4｜500基础表达词
82,important,granddaughter,bag,vegetable,maybe,B,Level 4｜500基础表达词
83,everyone,clean,south,June,agree,B,Level 4｜500基础表达词
84,special,couple,screen,potato,perhaps,B,Level 4｜500基础表达词
85,everybody,wear,east,July,disagree,B,Level 4｜500基础表达词
86,common,guest,clock,tomato,probably,B,Level 4｜500基础表达词
87,everything,buy,west,August,promise,B,Level 4｜500基础表达词
88,possible,stranger,pencil,soup,almost,B,Level 4｜500基础表达词
89,nobody,pay,top,September,suggest,B,Level 4｜500基础表达词
90,impossible,doctor,picture,sugar,shall,B,Level 4｜500基础表达词
91,nothing,sell,bottom,October,mention,B,Level 4｜500基础表达词
92,sure,nurse,photo,salt,an,B,Level 4｜500基础表达词
93,one,spend,middle,November,repeat,B,Level 4｜500基础表达词
94,clear,driver,exam,cake,some,B,Level 4｜500基础表达词
95,ones,save,center,December,pronounce,B,Level 4｜500基础表达词
96,dark,farmer,course,cheese,any,B,Level 4｜500基础表达词
97,another,cost,side,spring,translate,B,Level 4｜500基础表达词
98,light,police,subject,ice,much,B,Level 4｜500基础表达词
99,other,lose,edge,summer,communicate,B,Level 4｜500基础表达词
100,heavy,officer,math,shirt,many,B,Level 4｜500基础表达词
101,others,win,corner,autumn,show,B,Level 5｜850核心词
102,cheap,boss,science,pants,more,B,Level 5｜850核心词
103,each,choose,place,winter,teach,B,Level 5｜850核心词
104,expensive,worker,history,jeans,most,B,Level 5｜850核心词
105,both,help,position,daily,question,B,Level 5｜850核心词
106,rich,student,art,dress,few,B,Level 5｜850核心词
107,either,wait,point,weekly,reply,B,Level 5｜850核心词
108,poor,classmate,music,skirt,less,B,Level 5｜850核心词
109,meet,area,monthly,message,happy,B,Level 5｜850核心词
110,teammate,office,coat,least,visit,B,Level 5｜850核心词
111,space,early,word,sad,customer,B,Level 5｜850核心词
112,company,jacket,enough,travel,way,B,Level 5｜850核心词
113,late,name,angry,waiter,business,B,Level 5｜850核心词
114,shoe,several,drive,path,already,B,Level 5｜850核心词
115,language,afraid,waitress,shop,hat,B,Level 5｜850核心词
116,about,ride,direction,yet,English,B,Level 5｜850核心词
117,scared,body,store,sock,like,B,Level 5｜850核心词
118,fly,forward,then,sentence,tired,B,Level 5｜850核心词
119,head,market,pocket,how,swim,B,Level 5｜850核心词
120,backward,later,story,hungry,face,B,Level 5｜850核心词
121,bank,bike,why,dance,ahead,B,Level 5｜850核心词
122,ago,idea,thirsty,hair,card,B,Level 5｜850核心词
123,bicycle,whether,sleep,upstairs,thought,B,Level 5｜850核心词
124,sick,eye,price,taxi,unless,B,Level 5｜850核心词
125,wake,downstairs,reason,healthy,ear,B,Level 5｜850核心词
126,bill,station,until,add,somewhere,B,Level 5｜850核心词
127,example,well,nose,ticket,airport,B,Level 5｜850核心词
128,since,remove,anywhere,problem,fine,B,Level 5｜850核心词
129,mouth,number,street,however,fill,B,Level 5｜850核心词
130,everywhere,information,kind,tooth,list,B,Level 5｜850核心词
131,road,therefore,empty,nowhere,news,B,Level 5｜850核心词
132,nice,teeth,page,town,else,B,Level 5｜850核心词
133,cover,local,truth,friendly,tongue,B,Level 5｜850核心词
134,line,village,otherwise,uncover,abroad,B,Level 5｜850核心词
135,joke,funny,neck,map,park,B,Level 5｜850核心词
136,instead,touch,nearby,sound,serious,B,Level 5｜850核心词
137,shoulder,letter,hospital,especially,press,B,Level 5｜850核心词
138,opposite,voice,quiet,arm,email,B,Level 5｜850核心词
139,hotel,every,hit,lower,attention,B,Level 5｜850核心词
140,loud,hand,internet,restaurant,all,B,Level 5｜850核心词
141,kick,inner,memory,beautiful,finger,B,Level 5｜850核心词
142,website,cafe,neither,throw,outer,B,Level 5｜850核心词
143,opinion,pretty,thumb,game,library,B,Level 5｜850核心词
144,catch,surface,choice,smart,chest,B,Level 5｜850核心词
145,toy,supermarket,shake,ground,careful,B,Level 5｜850核心词
146,stomach,cup,bridge,bend,distance,B,Level 5｜850核心词
147,careless,waist,glass,sun,stretch,B,Level 5｜850核心词
148,useful,leg,plate,moon,lock,B,Level 5｜850核心词
149,useless,knee,bowl,star,unlock,B,Level 5｜850核心词
150,interesting,foot,spoon,sky,join,B,Level 5｜850核心词
151,boring,feet,fork,cloud,separate,B,Level 5｜850核心词
152,excited,toe,knife,rain,collect,B,Level 5｜850核心词
153,worried,heart,bottle,snow,share,B,Level 5｜850核心词
154,surprised,blood,towel,wind,borrow,B,Level 5｜850核心词
155,proud,skin,soap,tree,lend,B,Level 5｜850核心词
156,shy,bone,brush,flower,rent,B,Level 5｜850核心词
157,brave,brain,shower,grass,own,B,Level 5｜850核心词
158,calm,age,toilet,river,order,B,Level 5｜850核心词
159,lucky,birthday,mirror,sea,serve,B,Level 5｜850核心词
160,sorry,life,basket,ocean,plant,B,Level 5｜850核心词
161,alone,death,meal,lake,draw,B,Level 5｜850核心词
162,together,health,lunch,mountain,paint,B,Level 5｜850核心词
163,red,pain,dinner,beach,blue,B,Level 5｜850核心词
164,fever,breakfast,forest,green,medicine,B,Level 5｜850核心词
165,holiday,farm,yellow,relative,party,B,Level 5｜850核心词
166,animal,black,manager,gift,cat,B,Level 5｜850核心词
167,white,bird,brown,horse,gray,B,Level 5｜850核心词
168,world,orange,country,purple,earth,B,Level 5｜850核心词
169,fire,air,boat,ship,subway,B,Level 5｜850核心词
170,traffic,garden,field,island,sand,B,Level 5｜850核心词
